Date,Number of Data Points,Mean HR Overall,Median HR Overall,Min HR Overall,Max HR Overall,Number of Bouts at HR >= 80%,Total Time Spent (min) at HR >= 80%,Mean HR for Time Spent (min) at HR >= 80%,Median HR for Time Spent (min) at HR >= 80%,Min HR for Time Spent (min) at HR >= 80%,Number of Bouts at HR >= 60%,Total Time Spent (min) at HR >= 60%,Mean HR for Time Spent (min) at HR >= 60%,Median HR for Time Spent (min) at HR >= 60%,Min HR for Time Spent (min) at HR >= 60%,Number of Bouts at HR >= 40%,Total Time Spent (min) at HR >= 40%,Mean HR for Time Spent (min) at HR >= 40%,Median HR for Time Spent (min) at HR >= 40%,Min HR for Time Spent (min) at HR >= 40%,Number of Bouts at HR < 40%,Total Time Spent (min) at HR < 40%,Mean HR for Time Spent (min) at HR < 40%,Median HR for Time Spent (min) at HR < 40%,Min HR for Time Spent (min) at HR < 40%
2016-01-15,1212,84.3,83.0,64,131,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1,24.5,96.0,94.0,82,1,16.5,72.0,72.0,65
2016-01-18,6536,99.9,98.0,61,176,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,21,594.3,98.4,98.0,82,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2016-01-19,8719,94.4,92.0,64,159,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,35,769.5,95.9,94.0,82,5,139.5,76.3,76.0,69
2016-01-20,7380,95.3,93.0,63,171,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18,571.3,97.8,96.0,82,8,171.5,73.0,73.0,63
2016-01-21,6503,85.7,85.0,64,148,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,21,384.5,91.9,90.0,82,11,287.8,71.6,71.0,65
2016-01-22,7282,84.2,82.0,64,134,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,11,271.8,95.2,93.0,82,13,266.3,72.1,71.0,64
2016-01-23,1258,109.7,109.0,62,175,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,5,92.8,102.7,103.0,82,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2016-01-24,113,94.5,100.0,70,130,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1,487.3,70.0,70.0,70
2016-01-25,655,103.0,100.0,70,153,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1,36.3,126.2,126.0,126,4,88.8,102.9,100.0,91,3,150.4,73.0,70.0,70
2016-01-26,1849,103.0,105.0,64,160,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,5,207.3,104.5,104.0,86,5,978.5,69.8,70.0,66
